State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
--x oox ---,  7.190000,  7.190000,     -    ,     -    ,     -    ,     -    , -0.837100, -0.837100,  9.000000
--x oox -xo, -0.910000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
--x oox ox-,  7.190000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000
--x oox x-o, -0.910000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--x oox xo-, -9.100000,  7.190000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000
--x ox- --o,  7.190000,  7.190000,     -    ,     -    ,     -    , -7.471000,  9.000000,  7.190000,     -    
--x ox- -o-,  7.190000,  7.190000,     -    ,     -    ,     -    ,  7.190000,  9.000000,     -    ,  7.190000
--x ox- o--,  7.190000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    , -9.100000, -9.100000
--x ox- oox,  9.000000, -9.100000,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    
--x ox- oxo, -0.910000,  9.000000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--x oxo ---,  7.190000,  7.190000,     -    ,     -    ,     -    ,     -    ,  9.000000,  7.190000,  7.190000
--x oxo -ox,  9.000000,  7.190000,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    
--x oxo -xo,  7.190000,  9.000000,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    
--x oxo o-x,  9.000000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--x oxo ox-,  7.190000,  9.000000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000
--x oxx -oo, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    
--x oxx o-o, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--x oxx oo-, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000
--x x-- -oo, -9.100000, -9.100000,     -    ,     -    , -9.100000, -9.100000,  7.190000,     -    ,     -    
--x x-- o-o, -9.100000, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    , -0.837100,     -    
