State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
ox- --o xx-,     -    ,     -    , -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000
ox- --x ---,     -    ,     -    , -7.471000, -6.151510, -0.246610,     -    ,  5.723900, -0.246610, -7.471000
ox- --x -ox,     -    ,     -    , -0.181000, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    
ox- --x -xo,     -    ,     -    , -9.100000, -9.100000,  9.000000,     -    , -9.100000,     -    ,     -    
ox- --x o-x,     -    ,     -    ,  7.190000,  9.000000, -9.100000,     -    ,     -    , -9.100000,     -    
ox- --x ox-,     -    ,     -    , -9.100000,  9.000000,  7.190000,     -    ,     -    ,     -    , -9.100000
ox- --x x-o,     -    ,     -    , -7.471000, -7.471000,  9.000000,     -    ,     -    , -7.471000,     -    
ox- --x xo-,     -    ,     -    , -0.181000, -7.471000, -0.181000,     -    ,     -    ,     -    , -7.471000
ox- -o- -xx,     -    ,     -    , -9.100000, -9.100000,     -    , -9.100000,  7.190000,     -    ,     -    
ox- -o- x-x,     -    ,     -    , -9.100000, -9.100000,     -    , -9.100000,     -    , -0.181000,     -    
ox- -o- xx-,     -    ,     -    , -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,  9.000000
ox- -ox --x,     -    ,     -    , -0.181000, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    
ox- -ox -x-,     -    ,     -    ,  7.190000,  7.190000,     -    ,     -    ,  7.190000,     -    ,  9.000000
ox- -ox oxx,     -    ,     -    ,  9.000000,  9.000000,     -    ,     -    ,     -    ,     -    ,     -    
ox- -ox x--,     -    ,     -    , -0.181000, -7.471000,     -    ,     -    ,     -    , -0.181000,  9.000000
ox- -ox xox,     -    ,     -    , -0.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
ox- -x- ---,     -    ,     -    , -9.100000, -9.100000,     -    , -9.100000, -9.100000, -0.246610, -9.100000
ox- -x- -ox,     -    ,     -    , -0.181000, -0.181000,     -    , -0.181000, -0.181000,     -    ,     -    
ox- -x- o-x,     -    ,     -    , -9.100000,  9.000000,     -    , -9.100000,     -    , -0.181000,     -    
